nombre,telefono,web_link,direccion,codigo_postal,latitude,longitude,descripcion,maps_link,place_id,sector,tipo_instalacion,subtipo_instalacion,provincia,municipio,otro1,otro2,id,comarca,area_actividad,otro3
D10,+34 982 98 60 35,http://www.sportd10.com/,"Lugar de Mosteiro, 27150 Outeiro de Rei, Lugo",27150.0,43.0877434,-7.5467429,,"https://www.google.com/maps/place/D10/@43.0877434,-7.5467429,14z/data=!4m8!1m2!2m1!1sD10!3m4!1s0xd31b9805ada3501:0xd868e3a2006307c2!8m2!3d43.0877434!4d-7.5467429",ChIJATXaWoC5MQ0RwgdjAKLjaNg,Centro deportivo,Fitness center,"Fitness center, Coffee shop, Gym, Padel club, Restaurant, Swimming pool, Tennis club",Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Basketball court"": true, ""Has a tennis court"": true, ""Sauna"": true, ""Swimming pool"": true}, ""Children"": {""Good for kids"": true}}",11,Lugo,,
Pavillón Municipal de Deportes,+34 982 22 39 30,,"Estrada Vella de Santiago, s/n, 27004 Lugo",27004.0,43.0050235,-7.5624294,,"https://www.google.com/maps/place/Pavill%C3%B3n+Municipal+de+Deportes/@43.0050235,-7.5624294,14z/data=!4m8!1m2!2m1!1sPavill%C3%B3n+Municipal+de+Deportes!3m4!1s0xd31cc2a1771fa51:0x97857d75adb6946f!8m2!3d43.0050235!4d-7.5624294",ChIJUfpxFyrMMQ0Rb5S2rXV9hZc,Complexo deportivo,Sports complex,Sports complex,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",12,Lugo,,
Polideportivo Municipal Lugo,+34 982 29 74 23,,"Rúa Monte Faro, 129, 27297 Lugo",27297.0,43.0263266,-7.561762099999999,,"https://www.google.com/maps/place/Polideportivo+Municipal+Lugo/@43.0263266,-7.561762099999999,14z/data=!4m8!1m2!2m1!1sPolideportivo+Municipal+Lugo!3m4!1s0xd31cef136f723e9:0xb258692a94cc2699!8m2!3d43.0263266!4d-7.561762099999999",ChIJ6SP3NvHOMQ0RmSbMlCppWLI,Sports complex,Sports complex,Sports complex,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",13,Lugo,,
Pabellon Os Castros,,,"Estrada General Cangas, 1, 27892 Foz, Lugo",27892.0,43.6290177,-7.335442299999999,,"https://www.google.com/maps/place/Pabellon+Os+Castros/@43.6290177,-7.3354422999999995,14z/data=!4m8!1m2!2m1!1sPabellon+Os+Castros!3m4!1s0xd3226a132d2603d:0xff1e7e3204df5ff4!8m2!3d43.6290177!4d-7.3354422999999995",ChIJPWDSMqEmMg0R9F_fBDJ-Hv8,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",14,Mariña Central,,
Complexo polideportivo O Palomar,+34 982 29 74 23,,"Av. dos Deportes, 27, 27004 Lugo",27004.0,43.0039759,-7.572867899999999,,"https://www.google.com/maps/place/Complexo+polideportivo+O+Palomar/@43.0039759,-7.572867899999999,14z/data=!4m8!1m2!2m1!1sComplexo+polideportivo+O+Palomar!3m4!1s0xd31ce7f235de92d:0x485c3857cc3018d4!8m2!3d43.0039759!4d-7.572867899999999",ChIJLeldI3_OMQ0R1BgwzFc4XEg,Polideportivo,Sports complex,Sports complex,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",15,Lugo,,
Anexo ao Pazo dos Deportes,,,27002 Lugo,27002.0,42.991758,-7.545298,,"https://www.google.com/maps/place/Anexo+ao+Pazo+dos+Deportes/@42.991758,-7.545298,14z/data=!4m8!1m2!2m1!1sAnexo+ao+Pazo+dos+Deportes!3m4!1s0xd31cc17cbe0fc51:0x9455d6b81a1bdaa8!8m2!3d42.991758!4d-7.545298",ChIJUfzgyxfMMQ0RqNobGrjWVZQ,Gimnasio,Gym,Gym,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Basketball court"": true}}",16,Lugo,,
Pabellon municipal Outeiro de Rei,,,"27150 Outeiro de Rei, Lugo",27150.0,43.1057434,-7.6147208,,"https://www.google.com/maps/place/Pabellon+municipal+Outeiro+de+Rei/@43.1057434,-7.6147208,14z/data=!4m8!1m2!2m1!1sPabellon+municipal+Outeiro+de+Rei!3m4!1s0xd31dad213477f7b:0x41119e656f240fed!8m2!3d43.1057434!4d-7.6147208",ChIJe39HE9LaMQ0R7Q8kb2WeEUE,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",17,Lugo,,
Serviocio Cultura Deporte Y Recreacion S L,+34 982 13 01 41,https://www.serviocio.es/,"Rúa Pintor Fierros, 0, 27700 Ribadeo, Lugo",27700.0,43.5362608,-7.0477105,,"https://www.google.com/maps/place/Serviocio+Cultura+Deporte+Y+Recreacion+S+L/@43.5362608,-7.0477105,14z/data=!4m8!1m2!2m1!1sServiocio+Cultura+Deporte+Y+Recreacion+S+L!3m4!1s0xd317e556fd5b927:0xcdd389213f956781!8m2!3d43.5362608!4d-7.0477105",ChIJJ7nVb1V-MQ0RgWeVPyGJ080,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}}",18,Mariña Oriental,,
Lino Arena,,,"27270 Pol, Lugo",27270.0,43.1332798,-7.3518292,,"https://www.google.com/maps/place/Lino+Arena/@43.1332798,-7.3518292,14z/data=!4m8!1m2!2m1!1sLino+Arena!3m4!1s0xd31b905c651a7ad:0xbe4e46811bcae44e!8m2!3d43.1332798!4d-7.3518292",ChIJradRxgW5MQ0RTuTKG4FGTr4,Club deportivo,Sports club,Sports club,Galicia,Pol,"sports complex, Prevesos, Galicia, ES",{},19,Meira,,
Complexo deportivo das Travesas,+34 986 23 99 97,https://deportes.vigo.org/ga/instalacion-deportiva/complexo-deportivo-travesas-24,"Av. de Castrelos, 1, Freijeiro, 36210 Vigo, Pontevedra",36210.0,42.2192357,-8.732087,,"https://www.google.com/maps/place/Complexo+deportivo+das+Travesas/@42.2192357,-8.732087,14z/data=!4m8!1m2!2m1!1sComplexo+deportivo+das+Travesas!3m4!1s0xd2f6209752b7ecf:0xa4d0d9af41dc8617!8m2!3d42.2192357!4d-8.732087",ChIJz34rdQliLw0RF4bcQa_Z0KQ,Complexo deportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",20,Vigo,,
BeOne Fitness & Sport,+34 982 87 36 42,https://beone.es/lugo/,"Rúa Cornubia, 5, 27002 Lugo",27002.0,43.0016991,-7.5522043,,"https://www.google.com/maps/place/BeOne+Fitness+%26+Sport/@43.001699099999996,-7.5522043,14z/data=!4m8!1m2!2m1!1sBeOne+Fitness+%26+Sport!3m4!1s0xd31cd6ce69f3009:0x3dd383c460ba9f2c!8m2!3d43.001699099999996!4d-7.5522043",ChIJCTCf5mzNMQ0RLJ-6YMSD0z0,Centro deportivo,Fitness center,"Fitness center, Gymnastics center, Swimming pool",Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Sauna"": true, ""Swimming pool"": true, ""Toilets"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",21,Lugo,,
Centro de Entrenamiento Personal y Rendimiento Deportivo J_Dovale Preparadores Físicos,+34 680 19 81 39,https://www.jdovale.es/,"Rúa dos Carros, 5, 27003 Lugo",27003.0,43.0463016,-7.559130899999999,,"https://www.google.com/maps/place/Centro+de+Entrenamiento+Personal+y+Rendimiento+Deportivo+J_Dovale+Preparadores+F%C3%ADsicos/@43.0463016,-7.5591308999999995,14z/data=!4m8!1m2!2m1!1sCentro+de+Entrenamiento+Personal+y+Rendimiento+Deportivo+J_Dovale+Preparadores+F%C3%ADsicos!3m4!1s0xd31cf951c307247:0x6779cf031c6c2dd0!8m2!3d43.0463016!4d-7.5591308999999995",ChIJR3IwHJXPMQ0R0C1sHAPPeWc,Entrenador personal,Personal trainer,"Personal trainer, Gymnastics center, Physical therapist, Pilates studio, Sports nutrition store",Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Service options"": {""On-site services"": true, ""Online classes"": false}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilets"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safe space"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",22,Lugo,,
Casa do Deporte,+34 982 29 74 23,,27003 Lugo,27003.0,43.0249999,-7.560325799999999,,"https://www.google.com/maps/place/Casa+do+Deporte/@43.0249999,-7.560325799999999,14z/data=!4m8!1m2!2m1!1sCasa+do+Deporte!3m4!1s0xd31cef3ad59b413:0xefd5e23082eca8c0!8m2!3d43.0249999!4d-7.560325799999999",ChIJE7RZrfPOMQ0RwKjsgjDi1e8,Centro deportivo,Fitness center,Fitness center,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Basketball court"": true, ""Volleyball court"": true}, ""Children"": {""Good for kids"": true}}",23,Lugo,,
Multisports Galicia S.L.U.,+34 982 81 68 84,http://www.championchipnorte.com/,"Complejo San Cristobal, Avda. Benigno Rivera, Rúa dos Canteiros, 101, Nave 10, 27003 Lugo",27003.0,43.0457884,-7.5695982,,"https://www.google.com/maps/place/Multisports+Galicia+S.L.U./@43.0457884,-7.5695982,14z/data=!4m8!1m2!2m1!1sMultisports+Galicia+S.L.U.!3m4!1s0xd31cfaf3e243a7b:0x2c0bb9c4f5b8b5bf!8m2!3d43.0457884!4d-7.5695982",ChIJezokPq_PMQ0Rv7W49cS5Cyw,Empresa de organización de eventos,Event management company,Event management company,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES",{},24,Lugo,,
Polideportivo Municipal ‘A Ferrería’,,,"27122 Castroverde, Lugo",27122.0,43.0315365,-7.3237261,,"https://www.google.com/maps/place/Polideportivo+Municipal+%E2%80%98A+Ferrer%C3%ADa%E2%80%99/@43.0315365,-7.3237261,14z/data=!4m8!1m2!2m1!1sPolideportivo+Municipal+%E2%80%98A+Ferrer%C3%ADa%E2%80%99!3m4!1s0xd31b1620f7e43f3:0x54b7bb7df0989d3e!8m2!3d43.0315365!4d-7.3237261",ChIJ80N-D2KxMQ0RPp2Y8H27t1Q,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",25,Lugo,,
Forus Lugo,+34 982 25 24 66,https://forus.es/centros-forus/lugo/lugo/,"Rúa Iglesias Otero, 52, 27004 Lugo",27004.0,42.9955425,-7.570667899999999,,"https://www.google.com/maps/place/Forus+Lugo/@42.9955425,-7.570667899999999,14z/data=!4m8!1m2!2m1!1sForus+Lugo!3m4!1s0xd31cdd770b2a039:0x8e750de2554aba9f!8m2!3d42.9955425!4d-7.570667899999999",ChIJOaCycNfNMQ0Rn7pKVeINdY4,Gimnasio,Gymnastics center,"Gymnastics center, Athletic club, Fitness center",Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Basketball court"": true, ""Has a tennis court"": true, ""Sauna"": true, ""Swimming pool"": true}, ""Children"": {""Good for kids"": true}}",26,Lugo,,
Pista de Patinaxe - Parque de Rosalía,+34 982 27 65 12,,"Rúa Frai Plácido Rei Lemos, 11-17, 27004 Lugo",27004.0,43.0059782,-7.5607114,,"https://www.google.com/maps/place/Pista+de+Patinaxe+-+Parque+de+Rosal%C3%ADa/@43.0059782,-7.5607114,14z/data=!4m8!1m2!2m1!1sPista+de+Patinaxe+-+Parque+de+Rosal%C3%ADa!3m4!1s0xd31ce83bce68969:0x628de57fda25d7d8!8m2!3d43.0059782!4d-7.5607114",ChIJaYnmvIPOMQ0R2Ncl2n_ljWI,Pista de patinaje sobre ruedas,Roller skating rink,Roller skating rink,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}}",27,Lugo,,
BeOne Fitness & Sport,+34 982 13 01 41,http://beone.es/centers/ribadeo,"Rúa Pintor Fierros, s/n, 27700 Ribadeo, Lugo",27700.0,43.5350142,-7.049949499999999,,"https://www.google.com/maps/place/BeOne+Fitness+%26+Sport/@43.5350142,-7.049949499999999,14z/data=!4m8!1m2!2m1!1sBeOne+Fitness+%26+Sport!3m4!1s0xd317efffdb1ac59:0x5e54bfb31fcf823a!8m2!3d43.5350142!4d-7.049949499999999",ChIJWayx_f9-MQ0ROoLPH7O_VF4,Centro deportivo,Fitness center,"Fitness center, Gymnastics center, Swimming pool",Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Sauna"": true, ""Swimming pool"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",28,Mariña Oriental,,
Parque de trial,,,"Lugar Matela, 503, 27150 Outeiro de Rei, Lugo",27150.0,43.1167302,-7.5951888,,"https://www.google.com/maps/place/Parque+de+trial/@43.1167302,-7.5951888,14z/data=!4m8!1m2!2m1!1sParque+de+trial!3m4!1s0xd31c5848d3b4a47:0xb70486671edf83a1!8m2!3d43.1167302!4d-7.5951888",ChIJR0o7jYTFMQ0RoYPfHmeGBLc,Centro de deportes de aventura,Adventure sports center,Adventure sports center,Galicia,,"sports complex, Prevesos, Galicia, ES",{},29,Lugo,,
Lugo Sporting Club,+34 982 25 03 45,http://www.cdlugo.com/,"Campo de futbol Anxo Carro, Avenida de los Deportes, s/n, 27004 Lugo",27004.0,43.0035403,-7.5704189,,"https://www.google.com/maps/place/Lugo+Sporting+Club/@43.0035403,-7.5704189,14z/data=!4m8!1m2!2m1!1sLugo+Sporting+Club!3m4!1s0xd31ce87031d333f:0x164823a8eab06036!8m2!3d43.0035403!4d-7.5704189",ChIJPzMdA4fOMQ0RNmCw6qgjSBY,Club deportivo,Sports club,"Sports club, Soccer club, Stadium",Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",30,Lugo,,
"Estadio ""O Pichon""",,,"Av. de Pastoriza, 27377 Muimenta, Lugo",27377.0,43.2547981,-7.4261538,,"https://www.google.com/maps/place/Estadio+%22O+Pichon%22/@43.254798099999995,-7.4261538,14z/data=!4m8!1m2!2m1!1sEstadio+%22O+Pichon%22!3m4!1s0xd31954fb56ad985:0x64f693e16fc65348!8m2!3d43.254798099999995!4d-7.4261538",ChIJhdlqtU-VMQ0RSFPGb-GT9mQ,Estadio,Stadium,Stadium,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",31,Tierra Chá,,
Skatepark - Frigsa,,,"Av. de A Coruña, 27297 Lugo",27297.0,43.0256205,-7.5603386,,"https://www.google.com/maps/place/Skatepark+-+Frigsa/@43.025620499999995,-7.5603386,14z/data=!4m8!1m2!2m1!1sSkatepark+-+Frigsa!3m4!1s0xd31cef3c84b14c1:0xaf909c8ed575fbf6!8m2!3d43.025620499999995!4d-7.5603386",ChIJwRRLyPPOMQ0R9vt11Y6ckK8,attractions,Skateboard park,Skateboard park,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}, ""Children"": {""Good for kids"": true}}",32,Lugo,,
Pabellón de Ribadeo,,,"Ribadeo, 27700 Ribadeo, Lugo",27700.0,43.5367089,-7.052064,,"https://www.google.com/maps/place/Pabell%C3%B3n+de+Ribadeo/@43.5367089,-7.052064,14z/data=!4m8!1m2!2m1!1sPabell%C3%B3n+de+Ribadeo!3m4!1s0xd317faaf3cf0973:0x32ba0a1e9cc9351!8m2!3d43.5367089!4d-7.052064",ChIJcwnP86p_MQ0RUZPM6aGgKwM,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",33,Mariña Oriental,,
Estadio Anxo Carro,+34 982 23 17 54,https://www.cdlugo.com/,"Av. dos Deportes, s/n, 27004 Lugo",27004.0,43.0032743,-7.570963799999999,,"https://www.google.com/maps/place/Estadio+Anxo+Carro/@43.0032743,-7.5709637999999995,14z/data=!4m8!1m2!2m1!1sEstadio+Anxo+Carro!3m4!1s0xd31ce7f097c4fa1:0xa3e6a885cea929b2!8m2!3d43.0032743!4d-7.5709637999999995",ChIJoU98CX_OMQ0RsimpzoWo5qM,Estadio,Stadium,Stadium,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",34,Lugo,,
Piscina Municipal Exterior de Frigsa,,,"Av. Infanta Elena, 56, 27297 Lugo",27297.0,43.0268703,-7.5610808,,"https://www.google.com/maps/place/Piscina+Municipal+Exterior+de+Frigsa/@43.0268703,-7.5610808,14z/data=!4m8!1m2!2m1!1sPiscina+Municipal+Exterior+de+Frigsa!3m4!1s0xd31cfc5e01246a3:0x6b27b039743f279d!8m2!3d43.0268703!4d-7.5610808",ChIJo0YS4MXPMQ0RnSc_dDmwJ2s,Piscina,Swimming pool,Swimming pool,Galicia,Lugo,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}}",35,Lugo,,
Pista Vermella,,,"Freixeiro, 36210 Vigo, Pontevedra",36210.0,42.2188387,-8.7314122,,"https://www.google.com/maps/place/Pista+Vermella/@42.2188387,-8.7314122,14z/data=!4m8!1m2!2m1!1sPista+Vermella!3m4!1s0xd2f63a76c0dbd5d:0x81581494597734c2!8m2!3d42.2188387!4d-8.7314122",ChIJXb0NbKdjLw0RwjR3WZQUWIE,Polideportivo,Sports complex,Sports complex,Galicia,,"sports complex, Prevesos, Galicia, ES","{""Accessibility"": {""Wheelchair-accessible entrance"": true}}",36,Vigo,,
